mag_r,u-g,g-r,r-i,i-z,z_spec
18.362556,1.390587,1.637041,0.553883,0.348316,0.314713
20.212719,2.021576,1.397486,0.777199,0.400808,0.333978
19.404594,1.93804,1.610622,0.72312,0.46258,0.420258
19.497953,1.302441,1.800127,0.65447,0.432058,0.421949
17.662672,2.149126,1.265268,0.449574,0.335371,0.192639
18.732512,1.575535,1.680939,0.608406,0.402275,0.400259
18.992483,2.154688,1.692251,0.650705,0.455933,0.412159
17.058098,2.131056,1.263519,0.504623,0.347582,0.218116
17.459639,2.03693,1.28788,0.519701,0.400715,0.172705
20.045179,1.836346,1.853722,0.730858,0.321087,0.443572
17.458557,1.399487,1.352781,0.51148,0.338022,0.243672
19.028448,2.029184,1.914331,0.662703,0.387348,0.390249
18.432131,1.685286,1.646858,0.59643,0.334318,0.360579
18.721012,1.600479,1.792402,0.624594,0.312368,0.34625
19.104836,2.060678,1.78809,0.601803,0.469503,0.426614
18.741543,2.058891,1.704029,0.64012,0.393898,0.322213
18.56885,1.874126,1.777054,0.641415,0.449072,0.366218
18.460173,1.781807,1.679222,0.585546,0.358128,0.332551
17.083307,2.068909,1.293659,0.515337,0.316004,0.204578
18.387812,1.778336,1.768484,0.541761,0.373413,0.371128
